ref_area.label,sex.label,classif1.label,classif2.label,time,obs_value
AFG,Total,OC2_ISCO08_TOTAL,,2021,7679.474
AFG,Total,OC2_ISCO08_02,,2021,209.728
AFG,Total,OC2_ISCO08_11,,2021,7.876
AFG,Total,OC2_ISCO08_12,,2021,89.945
AFG,Total,OC2_ISCO08_13,,2021,23.102
AFG,Total,OC2_ISCO08_14,,2021,10.688
AFG,Total,OC2_ISCO08_21,,2021,22.794
AFG,Total,OC2_ISCO08_22,,2021,63.733
AFG,Total,OC2_ISCO08_23,,2021,236.394
AFG,Total,OC2_ISCO08_24,,2021,9.108
AFG,Total,OC2_ISCO08_26,,2021,58.692
AFG,Total,OC2_ISCO08_32,,2021,9.93
AFG,Total,OC2_ISCO08_33,,2021,76.513
AFG,Total,OC2_ISCO08_34,,2021,7.447
AFG,Total,OC2_ISCO08_41,,2021,2.385
AFG,Total,OC2_ISCO08_42,,2021,8.611
AFG,Total,OC2_ISCO08_51,,2021,109.479
AFG,Total,OC2_ISCO08_52,,2021,717.863
AFG,Total,OC2_ISCO08_53,,2021,
AFG,Total,OC2_ISCO08_54,,2021,
AFG,Total,OC2_ISCO08_61,,2021,1025.166
AFG,Total,OC2_ISCO08_62,,2021,
AFG,Total,OC2_ISCO08_63,,2021,2619.84
AFG,Total,OC2_ISCO08_71,,2021,141.957
AFG,Total,OC2_ISCO08_72,,2021,126.705
AFG,Total,OC2_ISCO08_73,,2021,165.871
AFG,Total,OC2_ISCO08_74,,2021,18.878
AFG,Total,OC2_ISCO08_75,,2021,289.513
AFG,Total,OC2_ISCO08_81,,2021,7.502
AFG,Total,OC2_ISCO08_82,,2021,
AFG,Total,OC2_ISCO08_83,,2021,358.542
AFG,Total,OC2_ISCO08_91,,2021,36.888
AFG,Total,OC2_ISCO08_92,,2021,108.091
AFG,Total,OC2_ISCO08_93,,2021,831.155
AFG,Total,OC2_ISCO08_94,,2021,
AFG,Total,OC2_ISCO08_96,,2021,26.604
AFG,Total,OC2_ISCO08_X,,2021,251.519
AFG,Male,OC2_ISCO08_TOTAL,,2021,5850.428
AFG,Male,OC2_ISCO08_02,,2021,209.728
AFG,Male,OC2_ISCO08_11,,2021,7.876
AFG,Male,OC2_ISCO08_12,,2021,86.837
AFG,Male,OC2_ISCO08_13,,2021,22.293
AFG,Male,OC2_ISCO08_14,,2021,10.688
AFG,Male,OC2_ISCO08_21,,2021,22.794
AFG,Male,OC2_ISCO08_22,,2021,50.583
AFG,Male,OC2_ISCO08_23,,2021,193.474
AFG,Male,OC2_ISCO08_24,,2021,9.108
AFG,Male,OC2_ISCO08_26,,2021,58.692
AFG,Male,OC2_ISCO08_32,,2021,7.996
AFG,Male,OC2_ISCO08_33,,2021,76.139
AFG,Male,OC2_ISCO08_34,,2021,7.447
AFG,Male,OC2_ISCO08_41,,2021,2.385
AFG,Male,OC2_ISCO08_42,,2021,8.611
AFG,Male,OC2_ISCO08_51,,2021,103.831
AFG,Male,OC2_ISCO08_52,,2021,705.721
AFG,Male,OC2_ISCO08_53,,2021,
AFG,Male,OC2_ISCO08_54,,2021,
AFG,Male,OC2_ISCO08_61,,2021,910.234
AFG,Male,OC2_ISCO08_62,,2021,
AFG,Male,OC2_ISCO08_63,,2021,1461.474
AFG,Male,OC2_ISCO08_71,,2021,140.792
AFG,Male,OC2_ISCO08_72,,2021,126.705
AFG,Male,OC2_ISCO08_73,,2021,14.16
AFG,Male,OC2_ISCO08_74,,2021,18.878
AFG,Male,OC2_ISCO08_75,,2021,141.747
AFG,Male,OC2_ISCO08_81,,2021,7.502
AFG,Male,OC2_ISCO08_82,,2021,
AFG,Male,OC2_ISCO08_83,,2021,357.859
AFG,Male,OC2_ISCO08_91,,2021,21.727
AFG,Male,OC2_ISCO08_92,,2021,99.474
AFG,Male,OC2_ISCO08_93,,2021,819.0
AFG,Male,OC2_ISCO08_94,,2021,
AFG,Male,OC2_ISCO08_96,,2021,26.604
AFG,Male,OC2_ISCO08_X,,2021,113.428
AFG,Female,OC2_ISCO08_TOTAL,,2021,1829.046
AFG,Female,OC2_ISCO08_02,,2021,0.0
AFG,Female,OC2_ISCO08_11,,2021,
AFG,Female,OC2_ISCO08_12,,2021,
AFG,Female,OC2_ISCO08_13,,2021,
AFG,Female,OC2_ISCO08_14,,2021,
AFG,Female,OC2_ISCO08_21,,2021,0.0
AFG,Female,OC2_ISCO08_22,,2021,13.15
AFG,Female,OC2_ISCO08_23,,2021,42.92
AFG,Female,OC2_ISCO08_24,,2021,
AFG,Female,OC2_ISCO08_26,,2021,0.0
AFG,Female,OC2_ISCO08_32,,2021,
AFG,Female,OC2_ISCO08_33,,2021,
AFG,Female,OC2_ISCO08_34,,2021,
AFG,Female,OC2_ISCO08_41,,2021,
AFG,Female,OC2_ISCO08_42,,2021,
AFG,Female,OC2_ISCO08_51,,2021,5.648
AFG,Female,OC2_ISCO08_52,,2021,12.142
AFG,Female,OC2_ISCO08_53,,2021,
AFG,Female,OC2_ISCO08_54,,2021,
AFG,Female,OC2_ISCO08_61,,2021,114.932
AFG,Female,OC2_ISCO08_62,,2021,
AFG,Female,OC2_ISCO08_63,,2021,1158.366
AFG,Female,OC2_ISCO08_71,,2021,
AFG,Female,OC2_ISCO08_72,,2021,0.0
AFG,Female,OC2_ISCO08_73,,2021,151.711
AFG,Female,OC2_ISCO08_74,,2021,
AFG,Female,OC2_ISCO08_75,,2021,147.766
AFG,Female,OC2_ISCO08_81,,2021,
AFG,Female,OC2_ISCO08_82,,2021,
AFG,Female,OC2_ISCO08_83,,2021,
AFG,Female,OC2_ISCO08_91,,2021,15.161
AFG,Female,OC2_ISCO08_92,,2021,8.617
AFG,Female,OC2_ISCO08_93,,2021,12.155
AFG,Female,OC2_ISCO08_94,,2021,
AFG,Female,OC2_ISCO08_96,,2021,
AFG,Female,OC2_ISCO08_X,,2021,138.091
AFG,Total,OC2_ISCO08_TOTAL,,2020,6078.509
AFG,Total,OC2_ISCO08_01,,2020,41.231
AFG,Total,OC2_ISCO08_02,,2020,10.261
AFG,Total,OC2_ISCO08_03,,2020,119.735
AFG,Total,OC2_ISCO08_11,,2020,11.915
AFG,Total,OC2_ISCO08_12,,2020,31.151
AFG,Total,OC2_ISCO08_13,,2020,19.406
AFG,Total,OC2_ISCO08_14,,2020,12.756
AFG,Total,OC2_ISCO08_21,,2020,24.439
AFG,Total,OC2_ISCO08_22,,2020,52.082
AFG,Total,OC2_ISCO08_23,,2020,155.679
AFG,Total,OC2_ISCO08_24,,2020,3.672
AFG,Total,OC2_ISCO08_25,,2020,2.029
AFG,Total,OC2_ISCO08_26,,2020,4.408
AFG,Total,OC2_ISCO08_31,,2020,3.145
AFG,Total,OC2_ISCO08_32,,2020,9.858
AFG,Total,OC2_ISCO08_33,,2020,29.757
AFG,Total,OC2_ISCO08_34,,2020,34.186
AFG,Total,OC2_ISCO08_35,,2020,6.792
AFG,Total,OC2_ISCO08_41,,2020,14.439
AFG,Total,OC2_ISCO08_42,,2020,17.17
AFG,Total,OC2_ISCO08_43,,2020,3.593
AFG,Total,OC2_ISCO08_44,,2020,64.314
AFG,Total,OC2_ISCO08_51,,2020,237.898
AFG,Total,OC2_ISCO08_52,,2020,505.246
AFG,Total,OC2_ISCO08_53,,2020,4.073
AFG,Total,OC2_ISCO08_54,,2020,84.823
AFG,Total,OC2_ISCO08_61,,2020,2292.45
AFG,Total,OC2_ISCO08_62,,2020,21.187
AFG,Total,OC2_ISCO08_63,,2020,367.571
AFG,Total,OC2_ISCO08_71,,2020,260.875
AFG,Total,OC2_ISCO08_72,,2020,113.888
AFG,Total,OC2_ISCO08_73,,2020,107.533
AFG,Total,OC2_ISCO08_74,,2020,7.562
AFG,Total,OC2_ISCO08_75,,2020,313.365
AFG,Total,OC2_ISCO08_81,,2020,40.759
AFG,Total,OC2_ISCO08_82,,2020,
AFG,Total,OC2_ISCO08_83,,2020,365.734
AFG,Total,OC2_ISCO08_91,,2020,16.532
AFG,Total,OC2_ISCO08_92,,2020,47.99
AFG,Total,OC2_ISCO08_93,,2020,328.453
AFG,Total,OC2_ISCO08_94,,2020,1.092
AFG,Total,OC2_ISCO08_95,,2020,64.164
AFG,Total,OC2_ISCO08_96,,2020,27.652
AFG,Total,OC2_ISCO08_X,,2020,196.789
AFG,Male,OC2_ISCO08_TOTAL,,2020,4937.784
AFG,Male,OC2_ISCO08_01,,2020,41.231
AFG,Male,OC2_ISCO08_02,,2020,9.791
AFG,Male,OC2_ISCO08_03,,2020,119.471
AFG,Male,OC2_ISCO08_11,,2020,11.702
AFG,Male,OC2_ISCO08_12,,2020,30.498
AFG,Male,OC2_ISCO08_13,,2020,16.593
AFG,Male,OC2_ISCO08_14,,2020,12.756
